@manan Hahaha don't worry Microsoft will giveaway WP7 devices to all attendees. :D	
RT @bremic9188: Microsoft turned the volume up to 30 in Mango. #WP7	
Microsoft releases SkyDrive app for Windows Phone and iPhone http//:wp.me/p20XB7-U #windows #iPhone	
@BenThePCGuy reason why I want a windows phone ummmm maybe because windows and Microsoft are TOP DOG and always have been	
Nokia L800 wins hands down vs iPhone 4S in my eyes, but please Microsoft, more apps needed on Marketplace! I can't keep switching! #wp7	1
Up to a few days ago, only bad news about #WP7.Now thee press calls for a shining future. How did #Microsoft change the opinionists' minds ?	
Windows desktop OS is GARBAGE!!!! Windows Phone 7 is actually nice. Microsoft is the epitome of inconsistency.	
Can someone @microsoft get me a windows phone please? :p (via @JayMontano) me too please	
Pretty good phone, but no traction: Microsoft  company exec Terry Myerson will take over its struggling Windows Phone division.	
Windows Phone 7 Tips and Tricks (VIII) - the Three Buttons: Microsoft is trying to standardize all smartphones that run its Windows P...	
microsoft windowsphone speak out against SOPA or GTFOrIb	
I'll give Microsoft this, all their products (WP7, W8, NXE) are being unified by the same Zune-like interface, which isn't half-bad...	
@sahalhemant let's see how Windows Phone does - best thing I've seen from Microsoft in 25 yrs	
Heh. Well at least Microsoft won't have to worry about fragmentation with Windows Phone. Google and Android, on the other hand....	
Microsoft does have a roadmap for #WP7. It just relies on Bing, so there aren't turn-by-turn directions. @DrPizza @segphault	
Incredible that, many months after release, Microsoft still doesn't have any screenshots of Windows Phone 7 in its "news center"	
Call it Windows Phone 7 day: Microsoft's Oct. 11 WP7 event = 9:30 am press conf., 7 pm party + device showcase & open house in between.	
The twitter for windows phone client is dreadful. Hurry up @Microsoft and approve @carbonwp!!!	
Leaked Microsoft roadmap reveals Office 15, IE 10 and Windows Phone details:   If accurate, then this leaked Microsoft roadmap that's...	
Up nice and early for Microsoft #PDC10. Expecting some nice Windows Phone 7 news among other things.	
RT @siliconrepublic: Microsoft reveals capabiliites of next Windows Phone 7 update: Microsoft last night previewed the next generatio... ...	
What's wrong?Why does everyone shout #nokiaplanb?#nokia made good decision,finally they have some strategy #wp7 #microsoft	
Nokia/Microsoft shifting LESS THAN 1m Windows phones. Not looking good for what is pretty OK Mobile O/S. People just going off MS generally?	
Love is in the air on Microsoft.dk - win a Windows Phone 7 for yourself AND one for your Valentine! www.microsoft.dk	
RT @Querida184-Windows Phone 7 Gets Free Netflix Streaming App In Canada: While Microsoft was beaten to the punch by Sony when it... h...	
That Windows Phone is ugly. Everything Microsoft is ugly. Except #XBOX :|	
CES: The Microsoft challenge -- $100 to anyone who can beat Windows Phone speed using a rival device.	
Played with the Windows Phone 7 HTC HD7 tonight at the @microsoftstore . I was pretty impressed. phone choice = hard. wp7,droid or iphone4?	
RT @jm_deluxe: Microsoft are taking #wp7 metro UI and making it their desktop PC OS. #bldwin summary over	
LG Optimus 7 Officially Leaked Before Windows Phone 7: Microsoft Windows Phone 7	
suspicious!! :))) RT @nickmcquire: Just noticed that Stephen Elop - CEO of #Nokia - follows #Microsoft Windows Phone on Twitter! hhhmmm	
What? Only six versions of Windows Phone 7? Microsoft's plan is to "kill" the iPhone with a series of small darts.	
Microsoft demos real time gameplay between Windows Phone and Xbox 360: Microsoft's demo at this week's Mobile World Congress showed-o...	
RT @abgaryali: @Microsoft going all "O"s for #WP7 updates? First NoDo then Mango n Apollo... Wat next? "DILDO" it ends with "O" too. (cc ...	
@JeffWeber Now that Microsoft have paid devs, and I assume given you sales figures, is the WP7 market picking up and worth getting into?	
Free blue shirts you will never wear in public @Microsoft @WindowsPhone #MWC12	
Microsoft paid Nokia US$250 million to adopt Windows Phone	
RT @Gilly2468: Microsoft could organise a piss up in a brewery but judging by #WP7 Day only 1 person out of a group of 1000 would get pi ...	
@charlesarthur Made me smile that Nokia/Microsoft used Google's YouTube for their video! :¬) #WP7 #Google	
Microsoft finances WP7 Development with Android royalties!	
RT @JobsAdda: Microsoft's Windows Phone 7 launch event is tomorrow at 9:30AM ET, and we'll be there live!: #N#As you may have hear... http ...	
RT @lesanto: Let's all hope Nokia with Symbian, and Microsoft with #WP7 can produce the goods. We don't want a two horse race in mobile  ...	1
How creative is Microsoft! They're about to release their new Windows phone "Mango" like we need another phone with a fruit name....	1
Tomi comment 3 Nokia non-evil - when Microsoft decided 'is too expensive' to build migration path frm WINDOWS mobile 2 WINDOWS phone, Nokia?	
RT @Next_Gadgets: Microsoft shows off upcoming slim Samsung WP7 phone:  Microsoft at the Throughout the world Partner Conference ... ht ...	
@agafonovslava do you personally use Windows Phone? Is it mandatory for Microsoft Employees?	
I know I have a bunch of Microsoft developer followers, I am curious...anyone making money with a WP7 application?	
Debunk: Elop never said Microsoft is paying Nokia billions of dollars to use Windows Phone and related posts: EngadgetIn our sitdow...	
RT @thecomicproject: Huh!? Microsoft is using fruit names for WP7 updates? Starting with Mango for 7.5. Doubt it will ever get to Apple.	
@Ke_Malose Apple has iOS, Android is Google's mobile OS that is on various devices, Windows Phone is Microsoft's, which is already out	
RT @ShoutMGB: Microsoft's Windows Phone Head Criticizes Apple iPhone 4S: Microsoft's Windows Phone division President Andy Lee... http:/ ...	
Microsoft's Windows Phone 7.5 includes Mall Maps directly within the Bing maps interface. :>	
RT @Scobleizer already more excitement on Twitter for Microsoft's Windows Phone 7 than for Nokia N8 or RIM's latest. That says volumes. #wp7	
@windowsphoneuk any chance of being able to pay for #Xbox #Live games with #microsoft points or @PayPal any time soon on my #WP7 ??	
i doubt......wont get my phone tomorrow...th email looks gloomy.....i hope i get it on thursday #htc #hd7 #wp7 #microsoft	
RT @Microsoft: Weekend Reading:@Bing expands @Facebook "liked results", #wp7 coming soon to @Sprint + see the future of computing http:/ ...	
@mikemacias WP7 is going to rock. Just wait and see dude. This Nokia and Microsoft partnership will rock.	
@thisismynext Why is microsoft the only company you guys bash in the podcast. Android updates are way slower than WP7, copy and paste for	
RT @TheRomit: Can s'one from Microsoft take this & smack the carriers with it for hiding #wp7? @joebelfiore @BrandonWatson @benlower htt ...	
"@mcleodd So, it turns out you can't change the search engine on Windows Phone from Bing to Google. Smacks of old-school Microsoft tactics"	
@WinPhoneSupport Apparently the APIs does not allow integration the same way as e.g. Skydrive, so it's a @Microsoft issue. ;)	
Microsoft wint #Spinaward met Britt- campagne Windows Phone. Congrats @WindowsPhoneNL	
Why Microsoft's Metro UI could slowly kill Android: Microsoft's effort to merge the Windows Phone look and feel with Windows 8 will p...	
Microsoft battles delays in Windows Phone app approvals http://localhost/am_new/news/world-news/microsoft-battles-delays-in-windows-phone-ap	
@PepperApp Nice app guys, really uses Microsoft's Metro UI to great effect. A question, what made you chose WP7 as the launch platform?	
Intro to Hawaii Services SDK for mobile app development #WindowsPhone7 #Microsoft #cloudcomputing	
@vzwsupport why oh why is OBEX and GOEP blocked for the HTC trophy? Do u guys hate Microsoft? Forget the past (KIN) & make WP7 even better!	
Microsoft paid Nokia $250 million to use Windows Phone.	
It's almost like Microsoft actually listen!  :D  In other news, I can now buy #windowsphone apps!	
RT @benjamincrozat: TNW: Great, so Tweetbot for Windows Phone, coming in Fall 2012, got it. — PH: Sure if Microsoft wants to send a ton  ...	
Post-lunch session kicking off. Hoping for some fun tech details. #WP7 #microsoft	
Is registration for Microsoft windows phone 7 beta exam finished (70-599)? #wp7 #wp7dev	
RT @idccanada: Microsoft Windows Phone back in the game, with a bold vision, possibly a new benchmark in smart phone user experience htt ...	
According to ZDNet: Microsoft's Windows Phone 7 is the most stable mobile phone OS |  j.mp/qAUzKh @mollywood didn't your test 1 crash often?	
RT @arun8gb: Nokia acquires Microsoft Windows Phone Divison. #justimagine #futuretweet :p	
@eldarmurtazin Doesn't matter. Windows Phone shall prevail. Or not. Anyway, Microsoft will reap patent license fees.	
@Microsoft_Feed Awesome mate, i'm sure you will enjoy it :D #wp7	
Will Microsoft comment on its enterprise roadmap for Windows Phone 7?	
Windows 8 can support ARM architecture, what does it mean for you? SQL Server 2012 and Windows Phone 7.5 - exciting times for Microsoft.	
@thurrott WP7 may be all good accept for those with disabilities. Huge #fail for Microsoft. Shame on them! Blind  users not able to use WP7.	
I concur"@rajupp: Mark my words. Microsoft will only provide partial Apollo update to existing wp7 devices."	
Windows phone 7 mobile devices cannot sync with outlook!wth??both are microsoft products & they arent compatible?Is this some kind of joke?	
@bc3tech @UserCommunity Yeh one of the 8 winners of Microsoft First Apps Contest. I ported my free WP7/XNA Game Air Soccer Tour to #win8	
RT @PaulSloan: OH: "You're using a Windows phone. You must work for Microsoft."	
RT @eWEEKNews: Microsoft Firm on Windows Phone 7 Developer App Payments: Microsoft is adding more customer service to its Windo... ht...	
@MicrosoftStore too bad there aren't any stores in new england, swapping a windows phone for my nexus one would have been awesome	
#microsoft #WindowsPhone7 I'd like multitasking please	1
But now with them aligning with microsoft and switching their operating platform to that of windows phone is a bitch move!	
#TrueAchievement Status Change: Windows 8 is... different. I don't know if setting it up like the WP7 was the best idea ever by Microsoft.	
Windows Phone update delayed yet again. Are sleeper agents from Apple or Google working at Microsoft?	
Microsoft Delays Windows Phone 7 in China to First Half 2012 - PCWorld	
RT @bbc24: Microsoft launches its Windows Phone 7 smartphone, hoping to counter the Apple iPhone and Google Android phones.	
RT @MadMaxMel: had another great day in Windows Phone 7 test labs at Microsoft HQ; got our new prototype running on real devices :) #in  ...	
@WPhoneDaily congrats but i hate you. i thought you got a #wp8 exclusive from @microsoft or something #IWish	
@Microsoft  Keynote at #CES in about 25 minutes....waiting to see the new #WP7 devices..hopefulyl headed to VZ all decked out.	
Shady Microsoft. IM+ removes MS Live Messenger support because Microsoft asked them to remove it to stay in the WP7 Marketplace. Shady!	
RT @glanceandgo: The new Xbox menu looks amazing! Loving Microsoft's unified Metro vision for the future #e3 #WP7	
RT @microsoftcanada: Nice! @petejrussell Wanted 2 let u know a co-worker (iPhone user) commented on how smooth the WP7 interface is - ke ...	
You know what would be a really clever thug Microsoft could to to get Windows Phone's foot in the door?	
Any Microsoft insiders out there that can lend me a Windows Phone 7 handset for a KONG TV morning biz news segment re: Monday launch?	
@deVos_NL People shouldn't use the stockmarket for tech advise #wp7 #nokia #Microsoft	1
RT @KristinBockius: Skype plans deep integration of its voice & video services w/ Microsoft's Windows Phone, Lync, Xbox, etc http://onfo ...	
@dflukey Du vet at Microsoft har kopiert App Store modellen i Windows Phone 7 med Marketplace right?	
Some good questions were asked re where Microsoft / Telstra see their new phone market share coming from. There's the issue... #wp7	
My twitter has been lit on fire by angry Microsoft fanboys today after my Windows Phone 7 skepticism. Happy labor day!	
Microsoft "Targeting significant volume of Nokia Windows Phones in 2012". Yep that sounds "swift" in Nokia deal. #wp7	
RT @DNGBloggers: Kostenlose Microsoft Press eBooks verfügbar: "Programming Windows Phone 7", "Moving to Microsoft Visual Studio 2... htt ...	
Microsoft job opening hints at forthcoming backup / restore features for Windows Phone: The current state of... #career #careers #job	
@thurrott Has there been any news from Microsoft about turn-by-turn on WP7?	
Report: Microsoft Lync IM coming to iOS, BB, Android, WP7	
Windows Phone 7 SDK final now available!  Dev training and advertising SDK bits being posted to Microsoft.com/Downloads now.	
Microsoft and partners to heavily promote Windows Phone in 2012  @zdnet	
Dear Microsoft, release a new zune with your wp7 launch on the 11th. It would be smart	1
How much money ms have spent on it and how much is recovered RT @SimonLR: Does anybody have any bleeding WP7 questions for Microsoft?	
@TechnoBuffalo Google and Microsoft had THUNDER in MWC? With everyone sucking up to Apple, I'm surprised anyone's considering Android/WP7	
(1/2) Fwd:From: TwitterSent: Sep 10 4:58pmMsg: engadget: Microsoft celebrates Windows Phone 7 RTM with funeral parade for BlackBerry ...	
RT @nicholasrwilson: A great move by #Microsoft to allow iOS users to demo the Windows Phone. Click this link from your iPhone browser.  ...	
RT @martineleveille: Tweet your best wedding tip to @Windows7AU for your chance to win a cool #WinPhone7 ...#MMMicrosoft is underway!	
@themilman a couple of the bros working @Microsoft are liking WP7, tho I havent played with it myself yet, so I dunno... go play with 'em	
I love Windows Phone 7 #WP7 #Microsoft	
We failed to execute and competitors were our boulder Charlie Kindel, GM, WP7 Developer Ecosystem, Microsoft Corp #LeWeb	
Loving this: Using Bing Visual Search to find #WP7 apps then installing with @microsofttag	
Keeping it outside the family? RT @engadget Microsoft releases Bing app for Android, iOS, not Windows Phone 7 engt.co/tUzQxB	
Just got the new Microsoft backed 4sq app called 4th and mayor for WP7.  Very niice	
RT @Harkison: So Android is still cheaper :P RT @BGR Microsoft charges partners $20-$30 per Windows Phone license according to ZTE http: ...	
RT @yama: Confused why photosynth is not available in the wp7 marketplace- it's a microsoft product...	
RT @BeigeTheColour: Microsoft chief executive:Steve Balmer,introduces the brand new:windows phone7.said to rival the i-phone4&the blackb ...	
Come on Microsoft! Stop the Blue boxes in Windows Phone!	1
RT @ldignan: Microsoft's taking WP7 GSM first is a miscalculation. In the U.S. that means AT&T and T-Mobile, the two weak networks.http: ...	
Mobile News: Microsoft: ChevronWP7 unlocker will render phone permanently unusable	
Hello Thailand Windows Phone Mango update to roll out to AT&T customers on September 27: With confirmation that Microsoft's Windows Phone...	
And now, Microsoft is trying to be beautiful to compete with Apple. Just look at the Zune and Windows Phone 7 they're sooooo beautiful!	
Microsoft's Week: MIX Conference Nixed, Nokia Windows Phone Sales: Microsoft's week included its decoN8vZ3	
Whenever I'm taking on my #windowsphone notes, people ask me "Cool note-taking app, what's it called?" Its called #MicrosoftWord. #wp7 #FTW	
I'm still not sold on WP7 though. And from @jeffgerstmann's impressions on it, I think I'll stick to my iPhone. #MicrosoftCES	
Woah! Microsoft Exchange 2010 can wipe your iPad\WP7!! COOL!!	
"@TheAppleInsider: Microsoft says Windows Phone will beat the iPhone in China" - After closes their store in China because of rioting! Ya!	
Just got my hands on a new Microsoft Windows Phone 7 device (Samsung Omnia 7) ... awesome!	
I wonder if Microsoft is giving away the LG Optimus to all attendees of PDC, cuz it's the one WP7 phone no one cares about?!	
@Microsoftbe found a little typo in the contest submission form, it says Windows 7 Phone, it should be Windows Phone 7...Phone  :P	1
@LanceUlanoff Prediction: iPhone5 will have 4" screen. Nokia & Meego will be a success. Microsoft will announce WP7 tablets for early 2012	
#Wp7dev ...i am going to stop coding any app for #wp7 until few months when update process will really work!Shame on u #Microsoft	
HTC has gotta be pissed that Nokia got the green card from Microsoft to change WP7 however they want. I bet HTC wants to skin with Sense.	
Microsoft announcing a round of layoffs today to its marketing dept. Groups including Windows phone could be affected.	
RT @GSMA_MBB: Microsoft trumpets WP7 developer stats: Microsoft continues to push a ‘quality, not quantity' strategy when reve... http:/ ...	
RT @AMEInfonews: Latest news: Yalla Apps gives Jordanian developers access to the global Windows Phone 7 Market: Microsoft announ... htt ...	
Microsoft Sees Slow Start to Windows Phone 7	
Dear Microsoft: Windows Phone 7.5 Mango ... Really? ... REALLY? Give up already you're not going to win.	1
RT @duarte_vasco: So Microsoft is making more money from patents on #Android than their #WP7 product. How fast can you say Patent Troll?	
Microsoft investigates 'phantom' Windows Phone 7 data (BBC)	
Hmm. Hey Microsoft, why is my iPhone faster at getting emails from my exchange server than my Windows Phone? #doesnotmakesense	
i cant believe how much i am missing my droid phone immediately publishing my photos.  Microsoft gave me a windows phone but i have to ...	
RT @eWEEKNews: Windows Phone 7 Launch Scheduled for Oct. 11: Microsoft will formally unveil Windows Phone 7 in a high-profile New... htt ...	
@brandonwatson Left #Microsoft before he tell me more about @Windowsphone Text Render Engine, He gave me his word but didn't kept his word	
@ge0man Contact your local Microosft phone champ for a test #wp7dev device. Don't know who that is? Email thePhone at Microsoft.	
Wow, a Microsoft booth here at the Oglesby in FSU featuring #kinect and #wp7 why don't I have a wp7 phone again?	
RT @puneetsays: Microsoft will be announcing Windows Phone 7.5 in India, tomorrow :)	
Microsoft will give away free Windows Phones to five Android users with the worst malware horror stories.#N#  #N#  #N#  #N#  #N##N#  #imgeek	
@blindbargains I heard somewhere that microsoft didn't even put accessibility features in wp7 though, so I'll be interested to see whether	
Microsoft to hold Windows Phone event on November 7	
WP7-based Phones will begin shipping later in October, Microsoft sources said to Pocket-lint Web site	
Instead of trading my #Android for #WindowsPhone after challenge I'll be put on waiting list. How many visits to @MicrosoftStore is needed?	
Chuckling @stevivor begging for apps to be ported from iPhone to #WP7. I'm no fanboy but isn't Microsoft like SO retro! Oh new Word10 sucks!	1
I think @Microsoft is now the most innovative in terms of ui windows 8 and windows phone are really fresh and cool - #creditwherecreditisdue	
Microsoft launches 'Windows Phone 7'	
Microsoft Trains Windows Phones Salesforce	
@deltahw no skin over it, microsoft don't allow that! WP7 is awesome, got a HD7 now and using it lots. It's extremely easy to use as it is	
RT @scamboy    Feel like getting a #WP7 Welcome back Microsoft! Miss you since WinMo5/6...	
@seeson My list doesn't have much either just a portable Blu-Ray burner a 32GB Zune and Microsoft Points #windowsphone	
@WinPhoneSupport @MicrosoftHelps Thanks	
#Microsoft: In order to save @Nokia, @Intel, & itself from damning loss, MSFT had better pump Windows8 and WinPhone8 out immediately! #win8	1
@oscargodson I think WP7 and Metro are great. I think Microsoft is knee-capping its future by keeping the old desktop.	
Making of most secure phone on universe - Microsoft 's reason to not include socket API in WP7 .	
Having the #Nokia hardware with the #Microsoft software is a really fabulous combination. #WP8 #WP	
RT @MicrosoftEgypt: Now Yamama started the second demo demonstrating how to use touch gestures in windows phone 7.5 #MSPhoneCamp	
Notes about #wp7:#N#The parallax hub UI is pretty and functional. Gets a thumbs up from me. Kudos to Microsoft for sticking to their guns.	
@Enderle @cnetnews To buy a #windowsphone I would have to forget the endless list of failed #microsoft products sold to me - NOT HAPPENING	
If anyone wants to go to Microsoft tonight for Windows Phone 7 instead of me, contact me by DM, will have to skip it.	
RT @chrisharrington: Microsoft releases the new Windows phone and Apple follows with a stock spike to an all-time high. Hmmm...	
Pop quiz: Name the Microsoft #Windowsphone app that brings #mspartner info direct to you. ;-)	
RT @windowsphonenet: Qualcomm reveals it does not have an exclusive on Microsoft's Windows Phone - Inquirer: Qualcomm reveals it does... ...	
So the horrible @facebook WP7 app has been fixed by Microsoft and is actually usable now. Ball is in your court now @Rdio to fix yours.	
@arnehess @Microsoft I think it will be embedded in Win8 and if WP8 is being built on top of Win8 then it will come to WP "soon"	
Like if Microsoft opens a store in Colorado, i will volunteer to work there sef. Preach about that Windows Phone goodness!	
RT @Microsoft: With more than 25,000 @WindowsPhone apps, what's your favorite? «« until skype and whatsapp . . . NONE	
@Microsoft Definitely it's the Nokia line of Windows phone or The HTC titan 2 which just looks fantastic!	
And so it begins, Microsoft has invaded.  Nooks devices set to ship with Windows Phone 7 onboard - finally a step up from Symbian	
So is #microsoft screwing its developer community by isolating #silverlight to Windows Phone 7 niche?	
@Ashapplefan21 Hope you had a great Easter too! Since Microsoft now owns Skype, yes you can do video calling on Windows Phone. It's great.	
RT @On_MS_Products: Microsoft: Windows Phone 8 with shared core and infrastructure and in "Windows 8 timeframe"	
Ok WindowsPhone now actually has RTM'd from Microsoft. Happy to have been part of the developer early beta program.	
Microsoft releases IE9 to the WP7 #mwc11 #msft	
Microsoft has invited the world's most upbeat human being to talk about Windows phones.	
New Xbox dashboard + companion app for WP7= Microsoft is finally starting to understand the value of a connected ecosystem!	
Microsoft ported best part of Windows Phone 7 to Apple iOS, Google Android fans moaned that Microsoft didn't think of them first. Oddities.	
RT @ninayoonline: Microsoft releases Windows phone SDK 7.1: Windows phone SDK now has a new version which was announced today by M... ht ...	
Xbox Companion app for WP7 will launch alongside the new dashboard December 6th: #N##TAB##N#The fall 2011 dashboard update for Microsoft's Xb...	
RT @appleultd: Smart mCommerce: Kindle for Windows Phone 7 revealed, due 'in the ...: Microsoft demonstrated Kindle for Windows P... htt ...	
Windows Phone 7 is faster than its rivals in video playback, according to Microsoft	
@WP_DownUnder I just want to hear an official announcement from Microsoft. The deafening silence from them could potential harm #WP7	1
#wp7 #ff please follow these tweeple @longzheng @smartkeitai  @GergelyOrosz @nitaino @ckindel #microsoft	1
WP7 doesn't let you use Microsoft.Xna.Framework.Net?  That could make life a little bit tricky.	
ok, receveid mail from #Microsoft #Connect! Downloading #Mango package using FTM #wp7 #wp7dev	
wow i have to say wp7 is great really fast no lag really nice transitions great layout.wow i like a microsoft product	
RT @MicrosoftXTRA: Rovio working "day and night" on Angry Birds Space for "relevant devices" but still wont get to Windows Phone on... h ...	
....great battery life, u name it and Lumia 900 has it. The only thing that bothers me is that it has MICROSOFT'S WINDOWS PHONE OS..:(	
Microsoft SkyDrive has been released for iOS. Oh, and Windows Phone. Good news for those that use SkyDrive.	
How many major update will android see before Microsoft releases its wp7 mango update.	
Call me when Nokia Windows Phones connect: I'm a fan of Windows Phone and its glance-and-go concept, and Microsoft has made lots of n...	
@danieltsou yeah, sounds gd but i'm disapointed that this built of wp7 doesn't have accessibility built-in, which is ashame for microsoft.	
What Google is calling "Magzine Style UI" in Ice Cream Sandwich looks very similar to Metro in Microsoft Windows Phone 7 #ICS cc: @thurrott	
Microsoft's latest WP7 chassis spec includes second-gen Snapdragon, optional gyroscope  via @engadget	
RT @MicrosoftAiuta: #FF @Microsoft_PMI @windowsphoneIT @OfficeItalia @Office365  @technetitalia @forumMSDNitalia @MicrosoftAiuta	
Microsoft's Windows 8 recipe: Hint of Office, dash of Xbox, ounce of Windows Phone - so, you're aiming for the kitchen sink, eh?	
